id,causal_linkage_tier,causal_tier,expression_trend,expression_log2fc,therapeutic_alignment,therapeutic_recommendation,systemic_toxicity_risk,strategy_type,perturbation_ace,essentiality_tag,evidence_count,pathways,cell_types_active_in,regulating_snps,paracrine_targets,has_disease_link,has_pathway_link,eqtl_causal_direction,mean_eQTL_Z,max_eQTL_Z,mean_GWAS_Z,mean_GWAS_pval,min_GWAS_pval,n_snps_used,n_eQTL_variants,Evidence_Strength,Gene_Genetic_Confidence_Score,OR,CI_low,CI_high,mr_beta,mr_se,mr_pval,mr_direction,confidence_tier,method,is_gwas_hit,genetic_confidence_score,in_mr_risk,in_mr_protective,in_mr_any,in_eqtl,in_gwas
FCER1G,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Adaptive immune response | Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains | Antigen processing and presentation of exogenous peptide antigen | Antigen processing and presentation of exogenous peptide antigen via MHC class I | Antigen processing and presentation of peptide antigen | Antigen processing and presentation of peptide antigen via MHC class I | Biological process involved in interspecies interaction between organisms | C-type lectin receptor signaling pathway | Cell activation | Cellular response to cytokine stimulus | Cytokine-mediated signaling pathway | Defense response | Defense response to bacterium | Defense response to other organism | Hematopoietic or lymphoid organ development | Hemopoiesis | Immune System | Immune response | Immune system process | Innate immune response | Leukocyte activation | Leukocyte differentiation | Lymphocyte activation | Mononuclear cell differentiation | Positive regulation of cytokine production | Positive regulation of gene expression | Positive regulation of immune response | Positive regulation of multicellular organismal process | Regulation of cell activation | Regulation of cytokine production | Regulation of immune response | Response to bacterium | Response to biotic stimulus | Response to chemical | Response to cytokine | Response to external stimulus | Response to other organism | Response to stress | Signal transduction | Signaling | T cell activation involved in immune response | T cell differentiation involved in immune response | Tuberculosis,,rs2070901,,Yes,Yes,Protective,16.49985362,16.49985362,-2.614455888,0.00893697,0.00893697,1,1,Low,0.138484968,0.582861004,0.388878779,0.873606298,-0.539806536,0.206469934,0.00893697,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.138484968,FALSE,TRUE,TRUE,TRUE,FALSE
GRB2,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Cytokine Signaling in Immune system | Enzyme-linked receptor protein signaling pathway | Hepatitis C | JAK-STAT signaling pathway | Signaling by Interleukins | Signaling pathways regulating pluripotency of stem cells | Viral carcinogenesis,,rs9909443,,Yes,Yes,Risk,-7.238606495,-7.238606495,-4.344922253,1.39E-05,1.39E-05,1,1,Low,0.107374523,4.172272092,2.190391458,7.947371392,1.428460754,0.32876555,1.39E-05,Higher expression -> higher risk,Weak,Wald ratio,TRUE,0.107374523,TRUE,FALSE,TRUE,TRUE,TRUE
IKZF3,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Regulation of leukocyte proliferation,,rs907091,,Yes,Yes,Protective,-7.781971977,-7.781971977,3.862976036,0.000112014,0.000112014,1,1,Low,0.100971095,3.342304523,1.811987144,6.165054514,1.206660546,0.312365527,0.000112014,Higher expression -> higher risk,Weak,Wald ratio,TRUE,0.100971095,TRUE,FALSE,TRUE,TRUE,TRUE
CTSS,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Innate Immune System | Neutrophil degranulation,classical.monocyte | non.classical.monocyte,rs41271951,,Yes,Yes,Risk,-9.079917184,-9.079917184,-2.912778154,0.00358229,0.00358229,1,1,Low,0.089273048,1.889087823,1.231297156,2.898287214,0.636094079,0.218380545,0.00358229,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.089273048,TRUE,FALSE,TRUE,TRUE,FALSE
IRF4,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Interferon Signaling | Interferon alpha/beta signaling,,rs12203592,RIPK2,Yes,Yes,Protective,8.823198914,8.823198914,-2.978378387,0.00289778,0.00289778,1,1,Low,0.088823809,0.627062926,0.461239396,0.852502879,-0.466708383,0.156698821,0.00289778,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.088823809,FALSE,TRUE,TRUE,TRUE,FALSE
LTBR,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Immune System | Immune response | Immune system process | Regulation of response to stress | Regulation of stress-activated MAPK cascade | Response to external stimulus,,rs10849448,,Yes,Yes,Protective,-7.241265028,-7.241265028,3.515420616,0.000439058,0.000439058,1,1,Low,0.08865513,3.287534255,1.693138969,6.383339866,1.190137817,0.338547772,0.000439058,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.08865513,TRUE,FALSE,TRUE,TRUE,FALSE
CD226,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,Cell adhesion molecules | Positive regulation of interferon-gamma production | Positive regulation of leukocyte activation,,rs34875178,,Yes,Yes,Protective,-5.815485814,-5.815485814,3.91329764,9.10E-05,9.10E-05,1,1,Low,0.085837297,0.338696364,0.196930576,0.582516079,-1.082651254,0.276659573,9.10E-05,Higher expression -> lower risk (protective),Weak,Wald ratio,TRUE,0.085837297,FALSE,TRUE,TRUE,TRUE,TRUE
CLDN23,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Cell adhesion molecules,,rs17149208,,Yes,Yes,Risk,7.097654789,7.097654789,3.357499098,0.00078651,0.00078651,1,1,Low,0.083940759,1.358838539,1.136131874,1.625200576,0.30663032,0.091327,0.00078651,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.083940759,TRUE,FALSE,TRUE,TRUE,FALSE
FBXO6,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,1.005,Aggravating,Context-Dependent,Low,Unknown,0.0142,Weak/Contextual,1,Cell communication | Immune System | Negative regulation of biological process | Negative regulation of cellular process | Response to chemical | Response to organic substance | Response to stress | Signal transduction | Signaling,,rs3117067,,Yes,Yes,Risk,-8.607123923,-8.607123923,-2.840290271,0.00450725,0.00450725,1,1,Low,0.083921608,1.616059601,1.160398419,2.250648218,0.479990841,0.168993587,0.00450725,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.083921608,TRUE,FALSE,TRUE,TRUE,FALSE
DRD4,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Positive regulation of MAPK cascade,,rs8176333,,Yes,Yes,Risk,-5.538606151,-5.538606151,-3.808617388,0.000139746,0.000139746,1,1,Low,0.081275307,1.704121861,1.295284647,2.242002423,0.533049941,0.139958911,0.000139746,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.081275307,TRUE,FALSE,TRUE,TRUE,FALSE
HRAS,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Human T-cell leukemia virus 1 infection | Positive regulation of MAPK cascade | Positive regulation of interferon-gamma production,,rs12418264,,Yes,Yes,Risk,-8.047446848,-8.047446848,-2.894736442,0.00379477,0.00379477,1,1,Low,0.080864528,1.827155059,1.214869513,2.748028143,0.602760145,0.208226261,0.00379477,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.080864528,TRUE,FALSE,TRUE,TRUE,FALSE
M6PR,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Phagosome,,rs4882967,,Yes,Yes,Risk,-8.347889014,-8.347889014,-2.777895565,0.00547122,0.00547122,1,1,Low,0.080477818,0.539133227,0.348649377,0.833687527,-0.617792564,0.222395893,0.00547122,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.080477818,FALSE,TRUE,TRUE,TRUE,FALSE
ICAM1,Tier 1 — Full Causal Chain (MR+eQTL+Disease+Pathway),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains | Cell adhesion mediated by integrin | Epstein-Barr virus infection | Influenza A | Interferon Signaling | Regulation of leukocyte mediated cytotoxicity | Type II interferon signaling,,rs281436,,Yes,Yes,Protective,5.615706131,5.615706131,-2.984887107,0.00283683,0.00283683,1,1,Low,0.064020317,0.44833221,0.264743979,0.759230753,-0.802220781,0.268760845,0.00283683,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.064020317,FALSE,TRUE,TRUE,TRUE,FALSE
SPATA20,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs9890200,,Yes,No,Risk,-64.57263493,-64.57263493,-2.521517088,0.011685,0.011685,1,1,Moderate,0.497935148,1.094466889,1.020305059,1.174019242,0.090267386,0.03579884,0.011685,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.497935148,FALSE,FALSE,TRUE,TRUE,FALSE
MIR6891,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs75456009,,Yes,No,Protective,36.77795954,36.77795954,-6.851928449,7.29E-12,7.29E-12,1,1,Moderate,0.455482342,0.773385402,0.71857407,0.832377627,-0.256977776,0.037504445,7.29E-12,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.455482342,FALSE,TRUE,TRUE,TRUE,FALSE
KANSL1-AS1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs111390638,,Yes,No,Protective,39.66550575,39.66550575,-3.373910717,0.000741084,0.000741084,1,1,Weak,0.344542699,0.903578498,0.851893351,0.95839943,-0.10139229,0.030051859,0.000741084,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.344542699,FALSE,TRUE,TRUE,TRUE,FALSE
CCHCR1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs1265087,,Yes,No,Risk,17.72944822,17.72944822,9.517538808,1.77E-21,1.77E-21,1,1,Weak,0.342841559,2.114621232,1.812406547,2.46722953,0.74887571,0.078683757,1.77E-21,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.342841559,TRUE,FALSE,TRUE,TRUE,FALSE
TNPO3,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs12537496,,Yes,No,Protective,-19.31662503,-19.31662503,8.530238743,1.46E-17,1.46E-17,1,1,Weak,0.332045085,0.39093356,0.315050457,0.48509388,-0.939217657,0.110104498,1.46E-17,Higher expression -> lower risk (protective),Weak,Wald ratio,TRUE,0.332045085,FALSE,TRUE,TRUE,TRUE,TRUE
FAM167A,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs1382568,,Yes,No,Protective,23.15377983,23.15377983,-6.404768205,1.51E-10,1.51E-10,1,1,Weak,0.307108877,1.291212585,1.194070575,1.396257453,0.255581765,0.03990492,1.51E-10,Higher expression -> higher risk,Weak,Wald ratio,TRUE,0.307108877,TRUE,FALSE,TRUE,TRUE,TRUE
SKAP2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2960785,,Yes,No,Risk,32.76846384,32.76846384,3.830134954,0.000128073,0.000128073,1,1,Weak,0.306024018,0.710295831,0.596233105,0.846179395,-0.342073732,0.089311143,0.000128073,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.306024018,FALSE,TRUE,TRUE,TRUE,FALSE
SLC44A4,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs570263,,Yes,No,Protective,-5.577667063,-5.577667063,14.04795586,7.93E-45,7.93E-45,1,1,Weak,0.303756482,5.559184025,4.375881578,7.062468779,1.715451339,0.122113947,7.93E-45,Higher expression -> higher risk,Weak,Wald ratio,TRUE,0.303756482,TRUE,FALSE,TRUE,TRUE,TRUE
FADS2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs968567,,Yes,No,Protective,37.86663367,37.86663367,-2.37497792,0.01755,0.01755,1,1,Weak,0.29109192,0.93084655,0.877392851,0.987556826,-0.071660838,0.030173265,0.01755,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.29109192,FALSE,FALSE,TRUE,TRUE,FALSE
C3AR1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,1.012,Aggravating,Context-Dependent,Low,Unknown,0.0233,Weak/Contextual,1,Defense response | Innate Immune System | Neutrophil degranulation | Oxidative damage response | Regulation of immune response | Staphylococcus aureus infection,,rs2072449,,Yes,Yes,Risk,43.13440786,43.13440786,1.243621227,0.213639,0.213639,1,1,Weak,0.282871775,0.950802424,0.878131646,1.029487153,-0.050448995,0.040566206,0.213639,Higher expression -> lower risk (protective),Not_significant,Wald ratio,FALSE,0.282871775,FALSE,FALSE,TRUE,TRUE,FALSE
MDGA1,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,-1.254,Aggravating,Context-Dependent,Low,Unknown,-0.0415,Weak/Contextual,1,Regulation of cell-cell adhesion,,rs9349050,,Yes,Yes,Risk,-42.77505397,-42.77505397,-1.200327947,0.230012,0.230012,1,1,Weak,0.278605185,0.971674616,0.927136814,1.018351924,-0.028734288,0.023938698,0.230012,Higher expression -> lower risk (protective),Not_significant,Wald ratio,FALSE,0.278605185,FALSE,FALSE,TRUE,TRUE,FALSE
ZFP90,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,2,,,rs12918861,,Yes,No,Risk,32.38969364,32.38969364,2.647305993,0.00811359,0.00811359,1,1,Weak,0.260128956,0.87615159,0.7944496,0.966255895,-0.132216155,0.049943662,0.00811359,Higher expression -> lower risk (protective),Weak,Wald ratio,TRUE,0.260128956,FALSE,TRUE,TRUE,TRUE,TRUE
PSD4,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2241976,,Yes,No,Protective,35.18158355,35.18158355,-2.014763835,0.0439294,0.0439294,1,1,Weak,0.257515081,0.863788108,0.749105479,0.996027817,-0.146427786,0.072677394,0.0439294,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.257515081,FALSE,FALSE,TRUE,TRUE,FALSE
GSDMB,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs8067378,,Yes,No,Protective,-24.34636691,-24.34636691,4.441713588,8.92E-06,8.92E-06,1,1,Weak,0.256116964,0.691601562,0.587745112,0.813809782,-0.368745266,0.083018695,8.92E-06,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.256116964,FALSE,TRUE,TRUE,TRUE,FALSE
LY6G5B,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs4569,,Yes,No,Risk,-14.24532739,-14.24532739,-7.690047858,1.47E-14,1.47E-14,1,1,Weak,0.255255062,3.076278432,2.310149924,4.096482611,1.123720565,0.146126602,1.47E-14,Higher expression -> higher risk,Weak,Wald ratio,FALSE,0.255255062,TRUE,FALSE,TRUE,TRUE,FALSE
TAP2,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Up,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs17034,,Yes,No,Protective,13.94136336,13.94136336,-7.604269335,2.87E-14,2.87E-14,1,1,Weak,0.249870155,0.446378526,0.36258876,0.549531068,-0.806587973,0.106070411,2.87E-14,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.249870155,FALSE,TRUE,TRUE,TRUE,FALSE
LINC02210,Tier 2 — Strong Causal (MR+eQTL+Disease),Validated Driver,Down,0,Unknown,Context-Dependent,Low,Unknown,0,Unknown,1,,,rs2696673,,Yes,No,Protective,31.29140028,31.29140028,-2.495809701,0.012567,0.012567,1,1,Weak,0.246394799,0.838121063,0.72958904,0.962798066,-0.176592722,0.070755684,0.012567,Higher expression -> lower risk (protective),Weak,Wald ratio,FALSE,0.246394799,FALSE,FALSE,TRUE,TRUE,FALSE
